total_bill,tip,sex,smoker,size,day_Fri,day_Sat,day_Sun,time_Dinner
16.99,small,0,0,2,0,0,1,1
10.34,small,1,0,3,0,0,1,1
21.01,high,1,0,3,0,0,1,1
23.68,average,1,0,2,0,0,1,1
24.59,high,0,0,4,0,0,1,1
25.29,high,1,0,4,0,0,1,1
8.77,small,1,0,2,0,0,1,1
26.88,average,1,0,4,0,0,1,1
15.04,small,1,0,2,0,0,1,1
14.78,average,1,0,2,0,0,1,1
10.27,small,1,0,2,0,0,1,1
35.26,high,0,0,4,0,0,1,1
15.42,small,1,0,2,0,0,1,1
18.43,average,1,0,4,0,0,1,1
14.83,average,0,0,2,0,0,1,1
21.58,high,1,0,2,0,0,1,1
10.33,small,0,0,3,0,0,1,1
16.29,high,1,0,3,0,0,1,1
16.97,high,0,0,3,0,0,1,1
20.65,average,1,0,3,0,1,0,1
17.92,high,1,0,2,0,1,0,1
20.29,average,0,0,2,0,1,0,1
15.77,average,0,0,2,0,1,0,1
39.42,high,1,0,4,0,1,0,1
19.82,average,1,0,2,0,1,0,1
17.81,average,1,0,4,0,1,0,1
13.37,small,1,0,2,0,1,0,1
12.69,small,1,0,2,0,1,0,1
21.7,high,1,0,2,0,1,0,1
19.65,average,0,0,2,0,1,0,1
9.55,small,1,0,2,0,1,0,1
18.35,average,1,0,4,0,1,0,1
15.06,average,0,0,2,0,1,0,1
20.69,average,0,0,4,0,1,0,1
17.78,average,1,0,2,0,1,0,1
24.06,high,1,0,3,0,1,0,1
16.31,small,1,0,3,0,1,0,1
16.93,average,0,0,3,0,1,0,1
18.69,average,1,0,3,0,1,0,1
31.27,high,1,0,3,0,1,0,1
16.04,average,1,0,3,0,1,0,1
17.46,average,1,0,2,0,0,1,1
13.94,average,1,0,2,0,0,1,1
9.68,small,1,0,2,0,0,1,1
30.4,high,1,0,4,0,0,1,1
18.29,average,1,0,2,0,0,1,1
22.23,high,1,0,2,0,0,1,1
32.4,high,1,0,4,0,0,1,1
28.55,small,1,0,3,0,0,1,1
18.04,average,1,0,2,0,0,1,1
12.54,average,1,0,2,0,0,1,1
10.29,average,0,0,2,0,0,1,1
34.81,high,0,0,4,0,0,1,1
9.94,small,1,0,2,0,0,1,1
25.56,high,1,0,4,0,0,1,1
19.49,high,1,0,2,0,0,1,1
38.01,average,1,1,4,0,1,0,1
26.41,small,0,0,2,0,1,0,1
11.24,small,1,1,2,0,1,0,1
48.27,high,1,0,4,0,1,0,1
20.29,average,1,1,2,0,1,0,1
13.81,small,1,1,2,0,1,0,1
11.02,small,1,1,2,0,1,0,1
18.29,high,1,1,4,0,1,0,1
17.59,average,1,0,3,0,1,0,1
20.08,average,1,0,3,0,1,0,1
16.45,average,0,0,2,0,1,0,1
3.07,small,0,1,1,0,1,0,1
20.23,small,1,0,2,0,1,0,1
15.01,small,1,1,2,0,1,0,1
12.02,small,1,0,2,0,1,0,1
17.07,average,0,0,3,0,1,0,1
26.86,average,0,1,2,0,1,0,1
25.28,high,0,1,2,0,1,0,1
14.73,average,0,0,2,0,1,0,1
10.51,small,1,0,2,0,1,0,1
17.92,average,1,1,2,0,1,0,1
27.2,high,1,0,4,0,0,0,0
22.76,average,1,0,2,0,0,0,0
17.29,average,1,0,2,0,0,0,0
19.44,average,1,1,2,0,0,0,0
16.66,average,1,0,2,0,0,0,0
10.07,small,0,0,1,0,0,0,0
32.68,high,1,1,2,0,0,0,0
15.98,small,1,0,2,0,0,0,0
34.83,high,0,0,4,0,0,0,0
13.03,small,1,0,2,0,0,0,0
18.28,high,1,0,2,0,0,0,0
24.71,high,1,0,2,0,0,0,0
21.16,average,1,0,2,0,0,0,0
28.97,average,1,1,2,1,0,0,1
22.49,high,1,0,2,1,0,0,1
5.75,small,0,1,2,1,0,0,1
16.32,high,0,1,2,1,0,0,1
22.75,average,0,0,2,1,0,0,1
40.17,high,1,1,4,1,0,0,1
27.28,high,1,1,2,1,0,0,1
12.03,small,1,1,2,1,0,0,1
21.01,average,1,1,2,1,0,0,1
12.46,small,1,0,2,1,0,0,1
11.35,average,0,1,2,1,0,0,1
15.38,average,0,1,2,1,0,0,1
44.3,average,0,1,3,0,1,0,1
22.42,high,0,1,2,0,1,0,1
20.92,high,0,0,2,0,1,0,1
15.36,small,1,1,2,0,1,0,1
20.49,high,1,1,2,0,1,0,1
25.21,high,1,1,2,0,1,0,1
18.24,high,1,0,2,0,1,0,1
14.31,high,0,1,2,0,1,0,1
14.0,average,1,0,2,0,1,0,1
7.25,small,0,0,1,0,1,0,1
38.07,high,1,0,3,0,0,1,1
23.95,average,1,0,2,0,0,1,1
25.71,high,0,0,3,0,0,1,1
17.31,high,0,0,2,0,0,1,1
29.93,high,1,0,4,0,0,1,1
10.65,small,0,0,2,0,0,0,0
12.43,small,0,0,2,0,0,0,0
24.08,average,0,0,4,0,0,0,0
11.69,average,1,0,2,0,0,0,0
13.42,small,0,0,2,0,0,0,0
14.26,average,1,0,2,0,0,0,0
15.95,small,1,0,2,0,0,0,0
12.48,average,0,0,2,0,0,0,0
29.8,high,0,0,6,0,0,0,0
8.52,small,1,0,2,0,0,0,0
14.52,small,0,0,2,0,0,0,0
11.38,small,0,0,2,0,0,0,0
22.82,small,1,0,3,0,0,0,0
19.08,small,1,0,2,0,0,0,0
20.27,average,0,0,2,0,0,0,0
11.17,small,0,0,2,0,0,0,0
12.26,small,0,0,2,0,0,0,0
18.26,average,0,0,2,0,0,0,0
8.51,small,0,0,2,0,0,0,0
10.33,small,0,0,2,0,0,0,0
14.15,small,0,0,2,0,0,0,0
16.0,small,1,1,2,0,0,0,0
13.16,average,0,0,2,0,0,0,0
17.47,high,0,0,2,0,0,0,0
34.3,high,1,0,6,0,0,0,0
41.19,high,1,0,5,0,0,0,0
27.05,high,0,0,6,0,0,0,0
16.43,average,0,0,2,0,0,0,0
8.35,small,0,0,2,0,0,0,0
18.64,small,0,0,3,0,0,0,0
11.87,small,0,0,2,0,0,0,0
9.78,small,1,0,2,0,0,0,0
7.51,small,1,0,2,0,0,0,0
14.07,average,1,0,2,0,0,1,1
13.13,small,1,0,2,0,0,1,1
17.26,average,1,0,3,0,0,1,1
24.55,small,1,0,4,0,0,1,1
19.77,small,1,0,4,0,0,1,1
29.85,high,0,0,5,0,0,1,1
48.17,high,1,0,6,0,0,1,1
25.0,high,0,0,4,0,0,1,1
13.39,average,0,0,2,0,0,1,1
16.49,small,1,0,4,0,0,1,1
21.5,high,1,0,4,0,0,1,1
12.66,average,1,0,2,0,0,1,1
16.21,small,0,0,3,0,0,1,1
13.81,small,1,0,2,0,0,1,1
17.51,average,0,1,2,0,0,1,1
24.52,high,1,0,3,0,0,1,1
20.76,average,1,0,2,0,0,1,1
31.71,high,1,0,4,0,0,1,1
10.59,small,0,1,2,0,1,0,1
10.63,small,0,1,2,0,1,0,1
50.81,high,1,1,3,0,1,0,1
15.81,average,1,1,2,0,1,0,1
7.25,high,1,1,2,0,0,1,1
31.85,average,1,1,2,0,0,1,1
16.82,high,1,1,2,0,0,1,1
32.9,average,1,1,2,0,0,1,1
17.89,small,1,1,2,0,0,1,1
14.48,small,1,1,2,0,0,1,1
9.6,high,0,1,2,0,0,1,1
34.63,high,1,1,2,0,0,1,1
34.65,high,1,1,4,0,0,1,1
23.33,high,1,1,2,0,0,1,1
45.35,high,1,1,3,0,0,1,1
23.17,high,1,1,4,0,0,1,1
40.55,average,1,1,2,0,0,1,1
20.69,high,1,0,5,0,0,1,1
20.9,high,0,1,3,0,0,1,1
30.46,small,1,1,5,0,0,1,1
18.15,high,0,1,3,0,0,1,1
23.1,high,1,1,3,0,0,1,1
15.69,small,1,1,2,0,0,1,1
19.81,high,0,1,2,0,0,0,0
28.44,average,1,1,2,0,0,0,0
15.48,small,1,1,2,0,0,0,0
16.58,high,1,1,2,0,0,0,0
7.56,small,1,0,2,0,0,0,0
10.34,small,1,1,2,0,0,0,0
43.11,high,0,1,4,0,0,0,0
13.0,small,0,1,2,0,0,0,0
13.51,small,1,1,2,0,0,0,0
18.71,high,1,1,3,0,0,0,0
12.74,small,0,1,2,0,0,0,0
13.0,small,0,1,2,0,0,0,0
16.4,average,0,1,2,0,0,0,0
20.53,high,1,1,4,0,0,0,0
16.47,average,0,1,3,0,0,0,0
26.59,average,1,1,3,0,1,0,1
38.73,average,1,1,4,0,1,0,1
24.27,small,1,1,2,0,1,0,1
12.76,average,0,1,2,0,1,0,1
30.06,small,1,1,3,0,1,0,1
25.89,high,1,1,4,0,1,0,1
48.33,high,1,0,4,0,1,0,1
13.27,average,0,1,2,0,1,0,1
28.17,high,0,1,3,0,1,0,1
12.9,small,0,1,2,0,1,0,1
28.15,average,1,1,5,0,1,0,1
11.59,small,1,1,2,0,1,0,1
7.74,small,1,1,2,0,1,0,1
30.14,average,0,1,4,0,1,0,1
12.16,average,1,1,2,1,0,0,0
13.42,high,0,1,2,1,0,0,0
8.58,small,1,1,1,1,0,0,0
15.98,average,0,0,3,1,0,0,0
13.42,small,1,1,2,1,0,0,0
16.27,average,0,1,2,1,0,0,0
10.09,small,0,1,2,1,0,0,0
20.45,average,1,0,4,0,1,0,1
13.28,average,1,0,2,0,1,0,1
22.12,average,0,1,2,0,1,0,1
24.01,small,1,1,4,0,1,0,1
15.69,average,1,1,3,0,1,0,1
11.61,average,1,0,2,0,1,0,1
10.77,small,1,0,2,0,1,0,1
15.53,average,1,1,2,0,1,0,1
10.07,small,1,0,2,0,1,0,1
12.6,small,1,1,2,0,1,0,1
32.83,small,1,1,2,0,1,0,1
35.83,high,0,0,3,0,1,0,1
29.03,high,1,0,3,0,1,0,1
27.18,small,0,1,2,0,1,0,1
22.67,small,1,1,2,0,1,0,1
17.82,small,1,0,2,0,1,0,1
18.78,average,0,0,2,0,0,0,1
